#Project,Sha,Workflow,Job,Result_with_instrumentation,Result_without_instrumentation,Runtime_with_instrumentation,Runtime_without_instrumentation,path_to_pass_fail_log_with_instrumentation,path_to_pass_fail_log_without_instrumentation,path_to_inotify_log,category
99-problems,e1d5421b833c633b93a30a77538dafffbf753a77,Java CI,"Test JDK 8, macOS-latest",failure,success,0:02:31,0:00:25,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4433537582/jobs/7778672773,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4308755468/jobs/7515376042,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/99-problems/.github/workflows/ci/test_os_macOS-latest_java_8,
99-problems,e1d5421b833c633b93a30a77538dafffbf753a77,Java CI,"Test JDK 11, macOS-latest",failure,success,0:00:43,0:01:48,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4433537582/jobs/7778672847,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4308755468/jobs/7515376176,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/99-problems/.github/workflows/ci/test_os_macOS-latest_java_11,
99-problems,e1d5421b833c633b93a30a77538dafffbf753a77,Java CI,"Test JDK 15, macOS-latest",failure,failure,0:03:27,0:00:33,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4433537582/jobs/7778672934,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4308755468/jobs/7515376300,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/99-problems/.github/workflows/ci/test_os_macOS-latest_java_15,
99-problems,e1d5421b833c633b93a30a77538dafffbf753a77,Java CI,"Test JDK 8, windows-latest",failure,success,0:01:35,0:01:45,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4433537582/jobs/7778673022,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4308755468/jobs/7515376398,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/99-problems/.github/workflows/ci/test_os_windows-latest_java_8,
99-problems,e1d5421b833c633b93a30a77538dafffbf753a77,Java CI,"Test JDK 11, windows-latest",failure,success,0:01:56,0:03:58,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4433537582/jobs/7778673106,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4308755468/jobs/7515376510,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/99-problems/.github/workflows/ci/test_os_windows-latest_java_11,
99-problems,e1d5421b833c633b93a30a77538dafffbf753a77,Java CI,"Test JDK 15, windows-latest",failure,success,0:02:11,0:01:16,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4433537582/jobs/7778673209,https://github.com/optimizing-ci-builds/99-problems/actions/runs/4308755468/jobs/7515376615,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/99-problems/.github/workflows/ci/test_os_windows-latest_java_15,
mcMMO,70d653a918bcb1acf934157305741c89a30e4f4c,Compile and test,Maven compiler,success,success,0:01:46,0:00:41,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4433525798/jobs/7778649324,https://github.com/optimizing-ci-builds/mcMMO/actions/runs/4300474343/jobs/7496693334,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/mcMMO/.github/workflows/maven/compile,
spring-framework-petclinic,d3b9dff779b78b155e00d13d2f2e1c79e38ab63b,Java CI with Maven,build,success,success,0:01:29,0:00:36,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4433526704/jobs/7778651210,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4300475127/jobs/7496694931,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/spring-framework-petclinic/.github/workflows/maven-build/build,
joda-time,fff184ddce286cfa115b522a9bbd609df3a557b6,Build,build,success,failure,0:15:45,0:00:08,https://github.com/optimizing-ci-builds/joda-time/actions/runs/4433535409/jobs/7778667982,https://github.com/optimizing-ci-builds/joda-time/actions/runs/4300467853/jobs/7496680338,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/joda-time/.github/workflows/build/build,
Java-WebSocket,98504a0b768a006471aa0b1627f85b901db7a1c9,Continuous Integration,Build,success,success,0:00:57,0:00:17,https://github.com/optimizing-ci-builds/Java-WebSocket/actions/runs/4433534018/jobs/7778665731,https://github.com/optimizing-ci-builds/Java-WebSocket/actions/runs/4300466635/jobs/7496677799,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/Java-WebSocket/.github/workflows/ci/Build,
Java-WebSocket,98504a0b768a006471aa0b1627f85b901db7a1c9,Continuous Integration,Test,failure,failure,0:03:56,0:01:57,https://github.com/optimizing-ci-builds/Java-WebSocket/actions/runs/4433534018/jobs/7778665875,https://github.com/optimizing-ci-builds/Java-WebSocket/actions/runs/4300466635/jobs/7496677701,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/Java-WebSocket/.github/workflows/ci/Test,
Java-WebSocket,98504a0b768a006471aa0b1627f85b901db7a1c9,Java Code Style Check with Maven,build,success,,0:01:05,,https://github.com/optimizing-ci-builds/Java-WebSocket/actions/runs/4433534034/jobs/7778665555,,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/Java-WebSocket/.github/workflows/checkstyle/build,
cucumber-java-skeleton,98f5505e7442fd79d11869b7c3aa0919ee214bed,Cucumber CI,Build,success,,0:01:30,,https://github.com/optimizing-ci-builds/cucumber-java-skeleton/actions/runs/4433526227/jobs/7778650314,,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/cucumber-java-skeleton/.github/workflows/build/build,
