Project,Workflow,Job,Step,failures,runtime diff in job, runtime diff in step,Runtime with fix,Runtime wo fix,step-runtime w fix,step-runtime wo fix,commit sha with fix,commit sha wo fix,build log with fix,build log wo fix
socket.io-client-java,CI,verify (11),Run the Maven verify phase,,7.0,-6.0,145.0,141.0,134.0,128.0,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517207428/jobs/7956234811,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517207436/jobs/7956233957
mooc-software-testing,Java CI with Maven,build,Build with Maven,,2.0,-7.0,32.0,23.0,21.0,14.0,f8563a9ce84ce010ad9593666ddb56d596318541,daf30179bddc1c395f135e34a3330f1a154e423b,https://github.com/optimizing-ci-builds/mooc-software-testing/actions/runs/4517207712/jobs/7956234154,https://github.com/optimizing-ci-builds/mooc-software-testing/actions/runs/4517207778/jobs/7956234222
matsim-example-project,Java CI with Maven,build,Run mvn verify,,-20.0,-38.0,274.0,234.0,254.0,216.0,438350e75b84d89bac7f6280746d346113527310,d998237b4e3992ff999732d32479e2366ad50b2e,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4517208058/jobs/7956234819,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4517208041/jobs/7956234687
JSqlParser,Java CI with Maven,Java 8 building ...,Build with Maven,,-14.0,-24.0,120.0,96.0,110.0,86.0,b99b1c8b8dc3d25e27cd3b7ada62380d8afbc214,27f759b5cacead48d62b8ad3485e32fbedd0955f,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517208097/jobs/7956234798,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517208170/jobs/7956234901
JSqlParser,Java CI with Maven,Java 11 building ...,Build with Maven,,5.0,-4.0,105.0,100.0,95.0,91.0,b99b1c8b8dc3d25e27cd3b7ada62380d8afbc214,27f759b5cacead48d62b8ad3485e32fbedd0955f,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517208097/jobs/7956234861,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517208170/jobs/7956234959
junit4,CI,Build and verify (JDK 6),Build and verify,,-19.0,-29.0,82.0,56.0,75.0,46.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517208244/jobs/7956235092,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517208262/jobs/7956235294
junit4,CI,Build and verify (JDK 8),Build and verify,,-42.0,-47.0,97.0,48.0,90.0,43.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517208244/jobs/7956235135,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517208262/jobs/7956235335
junit4,CI,Build and verify (JDK 11),Build and verify,,-7.0,-17.0,72.0,57.0,64.0,47.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517208244/jobs/7956235181,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517208262/jobs/7956235369
junit4,CI,Build and verify (JDK 17),Build and verify,,-14.0,-21.0,94.0,71.0,85.0,64.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517208244/jobs/7956235228,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517208262/jobs/7956235399
UniversalMediaServer,CI,Linux 20.04,Run tests,,46.0,23.0,117.0,134.0,88.0,111.0,efbee5e05cb48d524d2882335544ab6ab2c10688,9d88e952415d87a3d979872e9f30c859f10b1a45,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4517208387/jobs/7956236267,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4517208429/jobs/7956235491
